,name,legislature,iniciative,type,principal,secondary,abstract,status_date1,status1,status_notes1,status date,status,notes,authors,link,combined,topic_polit_electoral_part,topic_salud_atencion_calid,topic_nacion_cultural_patrimoni,topic_educ_superior_institu,topic_delit_sexual_penal,topic_congres_republ_legal,topic_public_servidor_territorial,topic_derech_human_aliment,topic_decret_2020_emergent,topic_servici_transport_social,topic_laboral_contrat_digital,topic_distrit_turist_especial,topic_fuerz_polic_militar,topic_rural_campesin_tierr,topic_justici_judicial_proces,topic_pension_vejez_riesg,topic_agropecuari_sector_product,topic_republ_conveni_colombi,topic_niñ_adolescent_menor,topic_paz_deb_especial,topic_ambiental_miner_sancionatori,topic_famili_proteccion_muj,topic_articul_codig_civil,topic_profesion_etic_profesional,topic_segur_vial_transit,topic,dates,dates end,real status,reason
0,Por el cual se modifica el artículo 6 de la Ley 388 de 1997. [Espacio público para menores],Jul 2018 - Jul 2019,Legislativa,Proyecto de Ley,Infraestructura,Recreación y deporte,"La presente Ley busca garantizar la implementación efectiva de espacios públicos y la priorización de necesidades de los niños y adolescentes en los entes territoriales. Esto, a través del fortalecimiento de las funciones del gobierno central.",8/1/2018,Radicado - Gaceta: S/N,Sin anotaciones,7/27/2020,Sancionado como Ley - Gaceta: 943/20,Ley 2037 de 2020,María Del Rosario Guerra De La Espriella,ppor-el-cual-se-modifica-el-articulo-6-de-la-ley-388-de-1997-espacio-publico-para-menores/9472,"Por el cual se modifica el artículo 6 de la Ley 388 de 1997. [Espacio público para menores] La presente Ley busca garantizar la implementación efectiva de espacios públicos y la priorización de necesidades de los niños y adolescentes en los entes territoriales. Esto, a través del fortalecimiento de las funciones del gobierno central.",0,0,0.06834045497,0,0,0,8.829327471,0,0,0,0,0,0,0.05816842589,0,0,0,0.9949507055,17.82158359,0,0,0,5.741076634,0,0,topic_niñ_adolescent_menor,2018-08-01,2020-07-27,Sanctioned,Law
1,Por medio del cual se reforma el artículo 135 de la Constitución Política y se dictan otras disposiciones. [Moción de censura],Jul 2019 - Jul 2020,Legislativa,Proyecto Acto Legislativo,Rama Legislativa,Rama Ejecutiva,La votación se hará luego de la audiencia pública del funcionario respectivo. (...) . El  funcionario respecto del cual se haya promovido moción de censura no podrá renunciar a su cargo hasta tanto no se haya producido la votación de la misma.,11/13/2019,Radicado - Gaceta: S/N,Sin anotaciones,12/17/2019,Archivado por Vencimiento de Términos - Gaceta: S/N,Art 224 Ley 5 de 1992,"Germán Varón Cotrino, Sandra Liliana Ortiz Nova, Rodrigo Lara Restrepo, Guillermo García Realpe, Roosvelt Rodríguez Rengifo, José Ritter López Peña, Juan Felipe Lemos Uribe, Andrés García Zuccardi, Roy Leonardo Barreras Montealegre",ppor-medio-del-cual-se-reforma-el-articulo-135-de-la-constitucion-politica-y-se-dictan-otras-disposiciones-mocion-de-censura/10496,Por medio del cual se reforma el artículo 135 de la Constitución Política y se dictan otras disposiciones. [Moción de censura] La votación se hará luego de la audiencia pública del funcionario respectivo. (...) . El  funcionario respecto del cual se haya promovido moción de censura no podrá renunciar a su cargo hasta tanto no se haya producido la votación de la misma.,1.833505294,0,0,0,0,0.3443971591,3.169939583,0,0,0,0,0,0,0,0,0.2524847324,0,0,0,0,0,0,6.420774413,0,0,topic_articul_codig_civil,2019-11-13,2019-12-17,Archived,Term Expiration
2,Por medio del cual se expide el código de ética para la profesión de fonoaudiología en Colombia y se dictan otras disposiciones. [Código de ética de fonoaudiología],Jul 2020 - Jul 2021,Legislativa,Proyecto de Ley,Profesiones,Asuntos administrativos,"El código de ética se constituye en una herramienta que orienta al profesional en Fonoaudiología en relación con la práctica profesional, su comportamiento con individuos, colectivos, colegas y otros profesionales; aportando a la sociedad y la cultura del país. Así mismo permite disponer al gobierno y la comunidad de profesionales de un órgano de control y régimen disciplinario que permita ejercer vigilancia sobre los roles y las funciones propias de la profesión.",9/9/2020,Radicado - Gaceta: S/N,Sin anotaciones,9/17/2020,Publicación - Gaceta: 934/20,Sin anotaciones,"Gabriel Jaime Velasco Ocampo, Jairo Giovany Cristancho Tarache, Ciro Alejandro Ramírez Cortés",ppor-medio-del-cual-se-expide-el-codigo-de-etica-para-la-profesion-de-fonoaudiologia-en-colombia-y-se-dictan-otras-disposiciones-codigo-de-etica-de-fonoaudiologia/11264,"Por medio del cual se expide el código de ética para la profesión de fonoaudiología en Colombia y se dictan otras disposiciones. [Código de ética de fonoaudiología] El código de ética se constituye en una herramienta que orienta al profesional en Fonoaudiología en relación con la práctica profesional, su comportamiento con individuos, colectivos, colegas y otros profesionales; aportando a la sociedad y la cultura del país. Así mismo permite disponer al gobierno y la comunidad de profesionales de un órgano de control y régimen disciplinario que permita ejercer vigilancia sobre los roles y las funciones propias de la profesión.",0,0,0.3289240805,0,0,0.02295857804,0,0,0,0,0,0,0.2205094018,0,0,0,0,1.088376225,0,0,0,0,0.6548772973,46.07007159,0.5535625279,topic_profesion_etic_profesional,2020-09-09,2020-09-17,Archived,Transit of Legislature
3,Por medio del cual se autoriza el reconocimiento de honorarios a los miembros de los Consejos Municipales de Juventud y se dictan otras disposiciones. [Honorarios a los miembros de los Consejos Municipales de Juventud],Jul  2021 - Jul 2022,Legislativa,Proyecto de Ley,Rama Legislativa,Economía,"Tiene por objeto reconocer la actividad constitucional y legal que desarrollan los miembros de los Consejos Municipales de Juventud, autorizando a los alcaldes el pago de honorarios y regulándoles su funcionamiento.",11/17/2021,Radicado - Gaceta: S/N,Sin anotaciones,6/20/2022,Archivado por Tránsito de Legislatura - Gaceta: S/N,Art 190 Ley 5 de 1992,"Carlos Alberto Cuenca Chaux, Erwin Arias Betancur, Temístocles Ortega Narváez, Carlos Abraham Jiménez López, Jaime Rodríguez Contreras, Julio César Triana Quintero",ppor-medio-del-cual-se-autoriza-el-reconocimiento-de-honorarios-a-los-miembros-de-los-consejos-municipales-de-juventud-y-se-dictan-otras-disposiciones-honorarios-a-los-miembros-de-los-consejos-municipales-de-juventud/12032,"Por medio del cual se autoriza el reconocimiento de honorarios a los miembros de los Consejos Municipales de Juventud y se dictan otras disposiciones. [Honorarios a los miembros de los Consejos Municipales de Juventud] Tiene por objeto reconocer la actividad constitucional y legal que desarrollan los miembros de los Consejos Municipales de Juventud, autorizando a los alcaldes el pago de honorarios y regulándoles su funcionamiento.",0.2165584657,0,0.0006104358026,0.3145442212,0,2.435648321,0.3292991782,0,0,0,0.1233953381,0,4.065279749,0.04349963724,0.7341482669,0.8675674768,0,0,1.071492694,0,0.8314009993,0.4512653816,0,0.4241240514,0,topic_fuerz_polic_militar,2021-11-17,2022-06-20,Archived,Transit of Legislation
4,Por medio de la se crean las gestoras comunitarias rurales en salud sexual y reproductiva y se dictan otras disposiciones. [Gestoras comunitarias rurales en salud sexual y reproductiva],Jul  2021 - Jul 2022,Legislativa,Proyecto de Ley,Seguridad Social y salud,Mujer,"Busca crear la figura de las gestoras comunitarias rurales en salud sexual y reproductiva como una actora en el Sistema de Salud y como parte del cumplimiento del punto 1 del Acuerdo Final para la Terminación del Conflicto y la Construcción de una Paz Estable y Duradera, en el marco del Plan Nacional de Salud Rural, con el fin de desarrollar una estrategia que permita generar liderazgos en salud para las mujeres.",4/5/2022,Radicado - Gaceta: S/N,Sin anotaciones,6/20/2022,Archivado por Tránsito de Legislatura - Gaceta: S/N,Art 190 Ley 5 de 1992,Victoria Sandino Simanca Herrera,ppor-medio-de-la-se-crean-las-gestoras-comunitarias-rurales-en-salud-sexual-y-reproductiva-y-se-dictan-otras-disposiciones-gestoras-comunitarias-rurales-en-salud-sexual-y-reproductiva/12288,"Por medio de la se crean las gestoras comunitarias rurales en salud sexual y reproductiva y se dictan otras disposiciones. [Gestoras comunitarias rurales en salud sexual y reproductiva] Busca crear la figura de las gestoras comunitarias rurales en salud sexual y reproductiva como una actora en el Sistema de Salud y como parte del cumplimiento del punto 1 del Acuerdo Final para la Terminación del Conflicto y la Construcción de una Paz Estable y Duradera, en el marco del Plan Nacional de Salud Rural, con el fin de desarrollar una estrategia que permita generar liderazgos en salud para las mujeres.",0,19.73429967,0,0,5.043353808,0,0,0,0,0,0,0,0,11.43682986,0,0,0,0,0,6.9856001,0,0,0,0,0,topic_salud_atencion_calid,2022-04-05,2022-06-20,Archived,Transit of Legislation
5,Por medio de la cual se incentiva el uso productivo de la guadua y el bambú y su sostenibilidad ambiental en el territorio nacional. [Incentiva el uso de la guadua y el bambú],Jul 2018 - Jul 2019,Legislativa,Proyecto de Ley,"Comercio, industria y turismo",Medio Ambiente,"La presente ley tiene como objeto adoptar un marco de política que incentive el uso productivo de la guadua y bambú en los diferentes sectores de la economía, tales como: industria, construcción, agroindustria y otros, en armonía con la sostenibilidad ambiental y sus servicios ecosistémicos en la mitigación de los efectos del cambio climático.",8/1/2018,Radicado - Gaceta: S/N,Sin anotaciones,6/20/2020,Archivado por Tránsito de Legislatura - Gaceta: S/N,Art. 190 Ley 5 de 1992,María Del Rosario Guerra De La Espriella,ppor-medio-de-la-cual-se-incentiva-el-uso-productivo-de-la-guadua-y-el-bambu-y-su-sostenibilidad-ambiental-en-el-territorio-nacional-incentiva-el-uso-de-la-guadua-y-el-bambu/9473,"Por medio de la cual se incentiva el uso productivo de la guadua y el bambú y su sostenibilidad ambiental en el territorio nacional. [Incentiva el uso de la guadua y el bambú] La presente ley tiene como objeto adoptar un marco de política que incentive el uso productivo de la guadua y bambú en los diferentes sectores de la economía, tales como: industria, construcción, agroindustria y otros, en armonía con la sostenibilidad ambiental y sus servicios ecosistémicos en la mitigación de los efectos del cambio climático.",0.9364522537,0,0.5362474942,0,0,0,0,0,2.325518751,4.510328183,0,0,0,0.7665492102,0,0,9.675509669,0.1847358929,0,0,16.30067765,0,0,0,0,topic_ambiental_miner_sancionatori,2018-08-01,2020-06-20,Archived,Transit of Legislation
6,Por medio de la cual se reforman procedimientos electorales y se dictan otras disposiciones. [Reforma electoral],Jul 2020 - Jul 2021,Legislativa,Proyecto de ley Estatutaria,Organización Electoral y elecciones,Partidos y movimientos,"El objeto de la presente ley es garantizar el debido proceso electoral; en particular asegurando la transparencia y acceso a la información en los procesos de selección de candidatos, las votaciones, los escrutinios y las campañas electorales; y la tecnificación progresiva y a cargo del Estado de los procedimientos electorales y sus mecanismos de control.",8/11/2020,Radicado - Gaceta: S/N,Sin anotaciones,8/19/2020,Publicación - Gaceta: 743/20,Sin anotaciones,"Manuel Antonio Virgüez Piraquive, Aydeé Lizarazo Cubillos, Irma Luz Herrera Rodríguez, Carlos Eduardo Guevara Villabón",ppor-medio-de-la-cual-se-reforman-procedimientos-electorales-y-se-dictan-otras-disposiciones-reforma-electoral/11009,"Por medio de la cual se reforman procedimientos electorales y se dictan otras disposiciones. [Reforma electoral] El objeto de la presente ley es garantizar el debido proceso electoral; en particular asegurando la transparencia y acceso a la información en los procesos de selección de candidatos, las votaciones, los escrutinios y las campañas electorales; y la tecnificación progresiva y a cargo del Estado de los procedimientos electorales y sus mecanismos de control.",2.637813988,0,0,0,0,0,0.5173199959,0,0,0,0,0,0,0,8.112634161,0,0.2824824695,0,0,0,1.110042547,0,0,1.491405246,0,topic_justici_judicial_proces,2020-08-11,2020-08-19,Archived,Author's Withdrawal
7,Por medio de la cual se adiciona la Ley 975 de 2005 y se dictan otras disposiciones. [Justicia y paz],Jul 2020 - Jul 2021,Legislativa,Proyecto de Ley,Justicia,Implementación paz,"La presente ley tiene por objeto garantizar el derecho integral a la verdad de las víctimas del conflicto armado interno en Colombia estableciendo un mecanismo de articulación entre el Sistema Integral de Verdad, Justicia, Reparación y Garantías de No Repetición y el proceso de reincorporación previsto en la Ley 975 de 2005.",9/9/2020,Radicado - Gaceta: S/N,Sin anotaciones,11/5/2020,Publicada Ponencia Primer Debate - Gaceta: 1252/20,Primer debate,Roy Leonardo Barreras Montealegre,ppor-medio-de-la-cual-se-adiciona-la-ley-975-de-2005-y-se-dictan-otras-disposiciones-justicia-y-paz/11265,"Por medio de la cual se adiciona la Ley 975 de 2005 y se dictan otras disposiciones. [Justicia y paz] La presente ley tiene por objeto garantizar el derecho integral a la verdad de las víctimas del conflicto armado interno en Colombia estableciendo un mecanismo de articulación entre el Sistema Integral de Verdad, Justicia, Reparación y Garantías de No Repetición y el proceso de reincorporación previsto en la Ley 975 de 2005.",0.008332725559,0.5454900899,0,0,0,0,0,2.555671783,0,0,0,0,0,1.084752996,19.55260311,0.03092055079,0.6642154025,0.9690468446,0,10.94738362,0,1.44441867,3.267140253,0,0.1436178813,topic_justici_judicial_proces,2020-09-09,2020-11-05,Archived,Transit of Legislation
8,"Por medio de la cual se modifica la reglamentación del ejercicio de la ingeniería química y de sus profesiones afines y auxiliares, se adopta el Código de Ética Profesional de la Ingeniería Química y se dictan otras disposiciones. [Código de Ética Profesional de la Ingeniería Química]",Jul 2020 - Jul 2021,Legislativa,Proyecto de Ley,Profesiones,Asuntos administrativos,"La presente ley tiene por objeto reglamentar el ejercicio de la Ingeniería Química y de sus profesiones afines y auxiliares; actualizar las funciones del Consejo Profesional de Ingeniería Química de Colombia creado mediante la Ley 18 de 1976; adoptar el Código de Ética Profesional de la Ingeniería Química y dictar el procedimiento administrativo sancionatorio propio de las labores de inspección, vigilancia y control del ejercicio profesional.",4/29/2021,Radicado - Gaceta: S/N,Sin anotaciones,5/26/2021,Retirado por el Autor - Gaceta: S/N,Art 155 Ley 5 de 1992,Iván Darío Agudelo Zapata,ppor-medio-de-la-cual-se-modifica-la-reglamentacion-del-ejercicio-de-la-ingenieria-quimica-y-de-sus-profesiones-afines-y-auxiliares-se-adopta-el-codigo-de-etica-profesional-de-la-ingenieria-quimica-y-se-dictan-otras-disposiciones-codigo-de-etica-profesional-de-la-ingenieria-quimica/12033,"Por medio de la cual se modifica la reglamentación del ejercicio de la ingeniería química y de sus profesiones afines y auxiliares, se adopta el Código de Ética Profesional de la Ingeniería Química y se dictan otras disposiciones. [Código de Ética Profesional de la Ingeniería Química] La presente ley tiene por objeto reglamentar el ejercicio de la Ingeniería Química y de sus profesiones afines y auxiliares; actualizar las funciones del Consejo Profesional de Ingeniería Química de Colombia creado mediante la Ley 18 de 1976; adoptar el Código de Ética Profesional de la Ingeniería Química y dictar el procedimiento administrativo sancionatorio propio de las labores de inspección, vigilancia y control del ejercicio profesional.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005372607236,0,0,0,1.068690024,37.90863569,0,topic_profesion_etic_profesional,2021-04-29,2021-05-26,Archived,Author's Withdrawal
9,Por medio de la cual se crea el sello de la gastronomía local y se dictan otras disposiciones. [Crea el sello de la gastronomía local],Jul 2018 - Jul 2019,Legislativa,Proyecto de Ley,"Comercio, industria y turismo",Administración pública,"Esta ley tiene como objetivo proteger, impulsar e incentivar la gastronomía local por medio de un sello de calidad que identifique el origen y la tradición de los alimentos y los establecimientos que los producen.",8/1/2018,Radicado - Gaceta: S/N,Sin anotaciones,6/20/2019,Archivado por Tránsito de Legislatura - Gaceta: S/N,Art 190 Ley 5 de 1992,María Del Rosario Guerra De La Espriella,ppor-medio-de-la-cual-se-crea-el-sello-de-la-gastronomia-local-y-se-dictan-otras-disposiciones-crea-el-sello-de-la-gastronomia-local/9474,"Por medio de la cual se crea el sello de la gastronomía local y se dictan otras disposiciones. [Crea el sello de la gastronomía local] Esta ley tiene como objetivo proteger, impulsar e incentivar la gastronomía local por medio de un sello de calidad que identifique el origen y la tradición de los alimentos y los establecimientos que los producen.",0,0.8574755337,0.1386653559,0.3405692092,0,0,0.4238490128,3.097337538,1.095172518,0,0,0,0,1.42432984,0,0,0.1384124999,0.9403203034,0,0,0,0,0,0,0,topic_derech_human_aliment,2018-08-01,2019-06-20,Archived,Transit of Legislation
