,name,legislature,iniciative,type,principal,secondary,abstract,status_date1,status1,status_notes1,status date,status,notes,authors,link
0,Por el cual se modifica el artículo 6 de la Ley 388 de 1997. [Espacio público para menores],Jul 2018 - Jul 2019,Legislativa,Proyecto de Ley,Infraestructura,Recreación y deporte,"La presente Ley busca garantizar la implementación efectiva de espacios públicos y la priorización de necesidades de los niños y adolescentes en los entes territoriales. Esto, a través del fortalecimiento de las funciones del gobierno central.",8/1/2018,Radicado - Gaceta: S/N,Sin anotaciones,7/27/2020,Sancionado como Ley - Gaceta: 943/20,Ley 2037 de 2020,María Del Rosario Guerra De La Espriella,ppor-el-cual-se-modifica-el-articulo-6-de-la-ley-388-de-1997-espacio-publico-para-menores/9472
1,Por medio del cual se reforma el artículo 135 de la Constitución Política y se dictan otras disposiciones. [Moción de censura],Jul 2019 - Jul 2020,Legislativa,Proyecto Acto Legislativo,Rama Legislativa,Rama Ejecutiva,La votación se hará luego de la audiencia pública del funcionario respectivo. (...) . El  funcionario respecto del cual se haya promovido moción de censura no podrá renunciar a su cargo hasta tanto no se haya producido la votación de la misma.,11/13/2019,Radicado - Gaceta: S/N,Sin anotaciones,12/17/2019,Archivado por Vencimiento de Términos - Gaceta: S/N,Art 224 Ley 5 de 1992,"Germán Varón Cotrino, Sandra Liliana Ortiz Nova, Rodrigo Lara Restrepo, Guillermo García Realpe, Roosvelt Rodríguez Rengifo, José Ritter López Peña, Juan Felipe Lemos Uribe, Andrés García Zuccardi, Roy Leonardo Barreras Montealegre",ppor-medio-del-cual-se-reforma-el-articulo-135-de-la-constitucion-politica-y-se-dictan-otras-disposiciones-mocion-de-censura/10496
2,Por medio del cual se expide el código de ética para la profesión de fonoaudiología en Colombia y se dictan otras disposiciones. [Código de ética de fonoaudiología],Jul 2020 - Jul 2021,Legislativa,Proyecto de Ley,Profesiones,Asuntos administrativos,"El código de ética se constituye en una herramienta que orienta al profesional en Fonoaudiología en relación con la práctica profesional, su comportamiento con individuos, colectivos, colegas y otros profesionales; aportando a la sociedad y la cultura del país. Así mismo permite disponer al gobierno y la comunidad de profesionales de un órgano de control y régimen disciplinario que permita ejercer vigilancia sobre los roles y las funciones propias de la profesión.",9/9/2020,Radicado - Gaceta: S/N,Sin anotaciones,9/17/2020,Publicación - Gaceta: 934/20,Sin anotaciones,"Gabriel Jaime Velasco Ocampo, Jairo Giovany Cristancho Tarache, Ciro Alejandro Ramírez Cortés",ppor-medio-del-cual-se-expide-el-codigo-de-etica-para-la-profesion-de-fonoaudiologia-en-colombia-y-se-dictan-otras-disposiciones-codigo-de-etica-de-fonoaudiologia/11264
3,Por medio del cual se autoriza el reconocimiento de honorarios a los miembros de los Consejos Municipales de Juventud y se dictan otras disposiciones. [Honorarios a los miembros de los Consejos Municipales de Juventud],Jul  2021 - Jul 2022,Legislativa,Proyecto de Ley,Rama Legislativa,Economía,"Tiene por objeto reconocer la actividad constitucional y legal que desarrollan los miembros de los Consejos Municipales de Juventud, autorizando a los alcaldes el pago de honorarios y regulándoles su funcionamiento.",11/17/2021,Radicado - Gaceta: S/N,Sin anotaciones,6/20/2022,Archivado por Tránsito de Legislatura - Gaceta: S/N,Art 190 Ley 5 de 1992,"Carlos Alberto Cuenca Chaux, Erwin Arias Betancur, Temístocles Ortega Narváez, Carlos Abraham Jiménez López, Jaime Rodríguez Contreras, Julio César Triana Quintero",ppor-medio-del-cual-se-autoriza-el-reconocimiento-de-honorarios-a-los-miembros-de-los-consejos-municipales-de-juventud-y-se-dictan-otras-disposiciones-honorarios-a-los-miembros-de-los-consejos-municipales-de-juventud/12032
4,Por medio de la se crean las gestoras comunitarias rurales en salud sexual y reproductiva y se dictan otras disposiciones. [Gestoras comunitarias rurales en salud sexual y reproductiva],Jul  2021 - Jul 2022,Legislativa,Proyecto de Ley,Seguridad Social y salud,Mujer,"Busca crear la figura de las gestoras comunitarias rurales en salud sexual y reproductiva como una actora en el Sistema de Salud y como parte del cumplimiento del punto 1 del Acuerdo Final para la Terminación del Conflicto y la Construcción de una Paz Estable y Duradera, en el marco del Plan Nacional de Salud Rural, con el fin de desarrollar una estrategia que permita generar liderazgos en salud para las mujeres.",4/5/2022,Radicado - Gaceta: S/N,Sin anotaciones,6/20/2022,Archivado por Tránsito de Legislatura - Gaceta: S/N,Art 190 Ley 5 de 1992,Victoria Sandino Simanca Herrera,ppor-medio-de-la-se-crean-las-gestoras-comunitarias-rurales-en-salud-sexual-y-reproductiva-y-se-dictan-otras-disposiciones-gestoras-comunitarias-rurales-en-salud-sexual-y-reproductiva/12288
5,Por medio de la cual se incentiva el uso productivo de la guadua y el bambú y su sostenibilidad ambiental en el territorio nacional. [Incentiva el uso de la guadua y el bambú],Jul 2018 - Jul 2019,Legislativa,Proyecto de Ley,"Comercio, industria y turismo",Medio Ambiente,"La presente ley tiene como objeto adoptar un marco de política que incentive el uso productivo de la guadua y bambú en los diferentes sectores de la economía, tales como: industria, construcción, agroindustria y otros, en armonía con la sostenibilidad ambiental y sus servicios ecosistémicos en la mitigación de los efectos del cambio climático.",8/1/2018,Radicado - Gaceta: S/N,Sin anotaciones,6/20/2020,Archivado por Tránsito de Legislatura - Gaceta: S/N,Art. 190 Ley 5 de 1992,María Del Rosario Guerra De La Espriella,ppor-medio-de-la-cual-se-incentiva-el-uso-productivo-de-la-guadua-y-el-bambu-y-su-sostenibilidad-ambiental-en-el-territorio-nacional-incentiva-el-uso-de-la-guadua-y-el-bambu/9473
6,Por medio de la cual se reforman procedimientos electorales y se dictan otras disposiciones. [Reforma electoral],Jul 2020 - Jul 2021,Legislativa,Proyecto de ley Estatutaria,Organización Electoral y elecciones,Partidos y movimientos,"El objeto de la presente ley es garantizar el debido proceso electoral; en particular asegurando la transparencia y acceso a la información en los procesos de selección de candidatos, las votaciones, los escrutinios y las campañas electorales; y la tecnificación progresiva y a cargo del Estado de los procedimientos electorales y sus mecanismos de control.",8/11/2020,Radicado - Gaceta: S/N,Sin anotaciones,8/19/2020,Publicación - Gaceta: 743/20,Sin anotaciones,"Manuel Antonio Virgüez Piraquive, Aydeé Lizarazo Cubillos, Irma Luz Herrera Rodríguez, Carlos Eduardo Guevara Villabón",ppor-medio-de-la-cual-se-reforman-procedimientos-electorales-y-se-dictan-otras-disposiciones-reforma-electoral/11009
7,Por medio de la cual se adiciona la Ley 975 de 2005 y se dictan otras disposiciones. [Justicia y paz],Jul 2020 - Jul 2021,Legislativa,Proyecto de Ley,Justicia,Implementación paz,"La presente ley tiene por objeto garantizar el derecho integral a la verdad de las víctimas del conflicto armado interno en Colombia estableciendo un mecanismo de articulación entre el Sistema Integral de Verdad, Justicia, Reparación y Garantías de No Repetición y el proceso de reincorporación previsto en la Ley 975 de 2005.",9/9/2020,Radicado - Gaceta: S/N,Sin anotaciones,11/5/2020,Publicada Ponencia Primer Debate - Gaceta: 1252/20,Primer debate,Roy Leonardo Barreras Montealegre,ppor-medio-de-la-cual-se-adiciona-la-ley-975-de-2005-y-se-dictan-otras-disposiciones-justicia-y-paz/11265
8,"Por medio de la cual se modifica la reglamentación del ejercicio de la ingeniería química y de sus profesiones afines y auxiliares, se adopta el Código de Ética Profesional de la Ingeniería Química y se dictan otras disposiciones. [Código de Ética Profesional de la Ingeniería Química]",Jul 2020 - Jul 2021,Legislativa,Proyecto de Ley,Profesiones,Asuntos administrativos,"La presente ley tiene por objeto reglamentar el ejercicio de la Ingeniería Química y de sus profesiones afines y auxiliares; actualizar las funciones del Consejo Profesional de Ingeniería Química de Colombia creado mediante la Ley 18 de 1976; adoptar el Código de Ética Profesional de la Ingeniería Química y dictar el procedimiento administrativo sancionatorio propio de las labores de inspección, vigilancia y control del ejercicio profesional.",4/29/2021,Radicado - Gaceta: S/N,Sin anotaciones,5/26/2021,Retirado por el Autor - Gaceta: S/N,Art 155 Ley 5 de 1992,Iván Darío Agudelo Zapata,ppor-medio-de-la-cual-se-modifica-la-reglamentacion-del-ejercicio-de-la-ingenieria-quimica-y-de-sus-profesiones-afines-y-auxiliares-se-adopta-el-codigo-de-etica-profesional-de-la-ingenieria-quimica-y-se-dictan-otras-disposiciones-codigo-de-etica-profesional-de-la-ingenieria-quimica/12033
9,Por medio de la cual se crea el sello de la gastronomía local y se dictan otras disposiciones. [Crea el sello de la gastronomía local],Jul 2018 - Jul 2019,Legislativa,Proyecto de Ley,"Comercio, industria y turismo",Administración pública,"Esta ley tiene como objetivo proteger, impulsar e incentivar la gastronomía local por medio de un sello de calidad que identifique el origen y la tradición de los alimentos y los establecimientos que los producen.",8/1/2018,Radicado - Gaceta: S/N,Sin anotaciones,6/20/2019,Archivado por Tránsito de Legislatura - Gaceta: S/N,Art 190 Ley 5 de 1992,María Del Rosario Guerra De La Espriella,ppor-medio-de-la-cual-se-crea-el-sello-de-la-gastronomia-local-y-se-dictan-otras-disposiciones-crea-el-sello-de-la-gastronomia-local/9474
