,title,author,resource,genre,place,publisher,date,content,topic,repository
0,El tiempo,No data,text,text,"Bogotá, Colombia",A.V. Restrepo,1911 - 1955,45 volumes : illustrations ; 57 cm,Rites and ceremonies,"Widener Library, Harvard University"
1,El nuevo tiempo,No data,text,No data,Bogotá,Ismael Enrique Arciniegas,1902 - uuuu,v. : ill.,Rites and ceremonies,"Widener Library, Harvard University"
2,El tiempo,No data,text,Newspapers,"Bogotá, Colombia",R. Garcia-Peña,1957 - 9999,v. : ill. ; 58 cm.,Périodiques,No data
3,"Salome, princesa de Galilea","Denker, Henry",text,No data,Bogotá,Edicol,1973,270 p. ; 18 cm.,No data,"Widener Library, Harvard University"
4,El General en su laberinto,"García Márquez, Gabriel",text,Fiction,"Bogotá, Colombia",Editorial Oveja Negra,1989,"284 p., [1] leaf of plates : map ; 23 cm.",No Data,"Houghton Library, Harvard University"
5,Alooo-- Gabo,"García Márquez, Gabriel",text,bibliography,"París - Bogotá, Colombia",Ediciones David & Ayala,1989,63 p. : facsims. ; 17 cm.,"Authors, Colombian","Houghton Library, Harvard University"
6,El amor en los tiempos del cólera,"García Márquez, Gabriel",text,Fiction,Bogotá,Oveja Negra,1985,473 p. ; 21 cm.,"Authors, Colombian","Houghton Library, Harvard University"
7,La unidad católica y la pluralidad de cultos,"Caro, Miguel Antonio",text,No data,Bogotá,Imprenta de Echeverría Hermanos,1869,14 p. ; 16 cm.,No data,"Houghton Library, Harvard University"
8,Entre el silencio y el rumor del mar,"MacLeish, Archibald",text,Drama,[Bogotá,Impreso en los talleres de la Editorial ABC,1945,"14 p., 1 ℓ. ; 25 cm.",Drama,"Houghton Library, Harvard University"
9,Memoria cientifica sobre el cultivo del maiz en los climas calidos del E. de Antioquia,"Gutiérrez González, Gregorio",text,No data,Medellin,Imprenta de Isidoro Isaza,1866,"xiv, 31 p. ; 16 cm.",Corn,"Houghton Library, Harvard University"
10,En la tumba de Maria Herrera,"Saravia, Hermójenes.",text,Poetry,Bogotá,Imprenta de Echeverría Hermanos,1871,11 p. ; 15 cm.,Death and burial,"Houghton Library, Harvard University"
11,Doce cuentos peregrinos,"García Márquez, Gabriel",text,Fiction,"Bogotá, Colombia",Editorial Oveja Negra,1992,226 p. ; 22 cm.,Social life and customs,"Houghton Library, Harvard University"
12,Tres cuentos colombianos,"García Márquez, Gabriel",text,Short stories.,Bogotá,Ed. Minerva,1954,72 p. ; 21 cm.,"Short stories, Colombian","Houghton Library, Harvard University"
13,La hojarasca: novela,"García Márquez, Gabriel",text,No data,Bogotá,Ediciones S. L. B.,1955,137 p. ; 21 cm.,No data,"Houghton Library, Harvard University"
