species,requests
vertebrado,343
invertebrado,31
amazona ochrocephala,18
brotogeris jugularis,15
sicalis flaveola,10
perifiton,10
carollia brevicauda,9
thraupis episcopus,6
sporophila nigricollis,6
coeligena torquata,6
amazilia tzacatl,6
coereba flaveola,6
dendrobates truncatus,6
sporophila minuta,6
artibeus lituratus,6
turdus ignobilis,6
muestreo vegetal,6
carollia perspicillata,6
desmodus rotundus,5
zenaida auriculata,5
heliangelus exortis,5
fitoplancton,5
iguana iguana,5
macroinvertebrado,5
volatinia jacarina,5
zooplancton,5
chelonoidis carbonaria,4
elaenia flavogaster,4
pristimantis w,4
tangara vitriolina,4
zonotrichia capensis,4
pitangus sulphuratus,4
nigrum,4
artibeus planirostris,4
tyrannus melancholicus,4
myioborus ornatus,4
icterus chrysater,4
turdus fuscater,4
thraupis palmarum,4
thamnophilus doliatus,4
aves,4
columbina talpacoti,4
bentos,3
rhinella marina,3
catharus ustulatus,3
schistochlamys melanopis,3
galbula ruficauda,3
pristimantis dorsopictus,3
dasyprocta punctata,3
mus domesticus,3
polioptila plumbea,3
engystomops pustulosus,3
peces,3
tangara cyanicollis,3
pyrocephalus rubinus,3
glossophaga soricina,3
boana xerophylla,3
coragyps atratus,3
anfibios,3
holcosus festivus,3
pristimantis sp,3
mamiferos,3
reptiles,3
zimmerius chrysops,3
arremon aurantiirostris,3
ramphocelus dimidiatus,3
ortalis columbiana,3
gonatodes albogularis,3
momotus subrufescens,3
heliomaster longirostris,3
tolmomyias sulphurescens,3
leptodactylus fragilis,3
scinax ruber,3
euphonia laniirostris,3
troglodytes aedon,3
chaetostoma fischeri,3
stenocercus trachycephalus,3
amazona amazonica,3
myiothlypis coronata,3
rhinella horribilis,3
leptodeira annulata,2
leptodactylus insularum,2
myiozetetes cayanensis,2
claravis pretiosa,2
pionus chalcopterus,2
myiopagis viridicata,2
megarynchus pitangua,2
thamnophilus atrinucha,2
cnemidophorus lemniscatus,2
dasypus novemcinctus,2
falco sparverius,2
trichomycterus banneaui,2
tantilla melanocephala,2
phimosus infuscatus,2
lasiancistrus caucanus,2
synbranchus marmoratus,2
crotophaga ani,2
pseudoboa neuwiedii,2
panyapedaliodes drymaea,2
micrurus mipartitus,2
sibon nebulatus,2
oxyrhopus petolarius,2
andinoacara latifrons,2
sylvilagus brasiliensis,2
tiaris olivaceus,2
anolis auratus,2
todirostrum cinereum,2
notosciurus granatensis,2
coryphospingus pileatus,2
rhinella humboldti,2
leptodactylus fuscus,2
leptotila plumbeiceps,2
diglossa sittoides,2
melanerpes rubricapillus,2
veniliornis kirkii,2
chironius carinatus,2
dendrophidion bivittatus,2
drymarchon melanurus,2
basiliscus galeritus,2
leptodeira septentrionalis,2
dendrocincla tyrannina,2
phimophis guianensis,2
hemidactylus frenatus,2
thecadactylus rapicauda,2
lepidoblepharis duolepis,2
lepidoblepharis xanthostigma,2
chalybura buffonii,2
basileuterus rufifrons,2
ardea alba,2
geophagus steindachneri,2
sturnira giannae,2
argopleura magdalenensis,2
pristimantis gaigei,2
eubucco bourcierii,2
platyrrhinus helleri,2
dendrocygna autumnalis,2
sturnira ludovici,2
psittacara wagleri,2
manacus manacus,2
dryocopus lineatus,2
myioborus miniatus,2
artibeus phaeotis,2
platyrrhinus nigellus,2
turdus leucomelas,2
dendropsophus columbianus,2
molothrus bonariensis,2
anoura geoffroyi,2
sturnira erythromos,2
hyalinobatrachium fleischmanni,2
trichoptera,2
melanerpes formicivorus,2
megascops choliba,2
artibeus anderseni,2
sturnira sp.,2
campylorhynchus griseus,2
didelphis marsupialis,2
rheobates palmatus,2
aulacorhynchus prasinus,2
kinosternon leucostomum,2
artibeus jamaicensis,2
uroderma bilobatum,2
ara ararauna,2
forpus conspicillatus,2
ara severus,2
mimus gilvus,2
pionus menstruus,2
piaya cayana,2
enémonas,2
adelomyia melanogenys,2
chamaepetes goudotii,2
chironius monticola,2
moluscos,2
serpophaga cinerea,2
poliquetos,2
algas,2
turdus serranus,2
saltator striatipectus,2
rupornis magnirostris,2
esponjas,2
otros invertebrado,2
mus musculus,2
rattus rattus,2
eupsitulla pertinax,2
troglodytes solstitialis,2
spilotes pullatus,2
cerdocyon thous,2
crsutaceos,2
streptoprocne zonaris,2
euptychoides griphe,2
pedaliodes manis,2
vanessa virginiensis,2
epipedobates boulengeri,2
bubulcus ibis,2
barysomus,2
sciurus granatensis,2
centrolene savagei,2
colonia de pocillopora spp,2
arotrhron meleagris,2
stelgidopteryx ruficollis,2
pseudobalistes naufragium,2
sufflamen verres,2
cathartes aura,2
diglossa cyanea,2
calosoma,2
ochthoeca cinnamomeiventris,2
myiothlypis fulvicauda,2
anthracothorax nigricollis,2
leptotes cassius,2
anisognathus lacrymosus,2
amazona ochropcephala,2
pedaliodes poesia,2
dione moneta butleri,2
leptotila verreauxi,2
pristimantis achatinus,2
colias dimera,2
chlorophanes spiza,2
synallaxis brachyura,2
atlapetes schistaceus,2
phyllomyias nigrocapillus,2
synallaxis azarae,2
ochthoeca fumicolor,2
thraupis cyanocephala,2
spinus psaltria,2
ampelion rubrocristatus,1
anadia cf. ocellata,1
andigena hypoglauca,1
anisognathus igniventris,1
anisognathus somptuosus,1
ameiva ameiva,1
amblycercus holosericeus,1
emberizoides herbicola,1
anolis antonii,1
amazilia saucerottei,1
leptodeira sp,1
dubusia taeniata,1
macrofitas acuáticas,1
diglossa humeralis,1
anolis fuscoauratus,1
anolis heterodermus,1
anolis tolimensis,1
anoura caudifer,1
aotus lemurinus,1
aramides cajaneus,1
aramus guarauna,1
amazona mercenarius,1
atta sp,1
akodon afinnis,1
thamnophilus punctatus,1
elanus leucurus,1
elaenia frantzii,1
eira barbara,1
phaethornis yaruqui,1
enchisthenes hartii,1
epinecrophylla fulviventris,1
eptesicus chiriquinus,1
eriocnemis vestita,1
erythrolamprus epinephelus,1
thamnophilidae,1
cyanerpes cyanea,1
aglaiocercus kingii,1
thraupidae,1
gonatodes sp,1
caiman crocodilus,1
trochilidae sp,1
bradypus variegatus,1
muestra de tejido bucal de oophaga lehmanni,1
accipiter striatus,1
euphonia cyanocephala,1
falco columbarius,1
actitis macularius,1
craugastor metriocistus,1
boa constrictor,1
ardea cocoi,1
choloepus hoffmanni,1
dacnis cayana,1
cnemotricus fuscatus,1
dacnis hartlaubi,1
chrysomus icterocephalus,1
dacnis lineata,1
dasyprocta fuliginosa,1
choeroniscus godmani,1
arremon assimilis,1
chlorospingus flavopectus,1
dendrocincla fuliginosa,1
chlorospingus canigularis,1
chlorornis riefferii,1
chlorophonia pyrrhophrys,1
chloroceryle americana,1
cyanocorax yncas,1
cyanocorax affinis,1
crypturellus soui,1
cryptotis thomasi,1
cryptorellus obsoletus,1
coeligena bonapartei,1
coeligena coeligena,1
crotalus durissus,1
colaptes punctigula,1
colaptes rivolii,1
colaptes rubiginosus,1
colibri coruscans,1
colibri thalassinus,1
colinus cristatus,1
columbina passerina,1
florisuga mellivora,1
conirostrum rufum,1
chiroxiphia lanceolata,1
dendroplex picus,1
cercosaura argulus,1
bolitoglossa sp.,1
arremon atricapillus,1
arremon brunneinucha,1
artibeus cf. jamaicensis,1
diglossa caerulescens,1
atlapetes albinucha,1
atlapetes albofrenatus,1
diglossa albilatera,1
atlapetes flaviceps,1
atractus crassicaudatus,1
atractus sp.,1
didelphis pernigra,1
basileuterus culicivorus,1
contopus fumigatus,1
boana pugnax,1
bolitoglossa vallecula,1
catamenia inornata,1
bothrops asper,1
buteo brachyurus,1
buteo nitidus,1
buthraupis montana,1
butorides striata,1
cacicus chrysonotus,1
dermanura cf. phaeotis,1
calyromys lanatus,1
dermanura cf. bogotensis,1
campephilus pollens,1
capsiempis flaveola,1
caracara cheriway,1
dendropsophus molitor,1
dendropsophus microcephalus,1
panthiades bitias,1
leucostethus fraterdanieli,1
fluvicola pica,1
synallaxis unirufa,1
sturnella magna,1
sturnella militaris,1
sturnira bidens,1
sturnira cf. bogotensis,1
sturnira cf. ludovici,1
sylvilagus apollinaris,1
sylvilagus sp,1
synallaxis albescens,1
synallaxis subpudica,1
tamandua mexicana,1
stilpnia heinei,1
tangara cyanocephala,1
tangara gyrola,1
tangara labradorides,1
tangara vassorii,1
tangara xanthocephala,1
tapera naevia,1
tetriocinchus bifasciatus,1
thamnophilus multistriatus,1
thlypopsis superciliaris,1
stilpnia vitriolina,1
stilpnia cyanicollis,1
trogon personatus,1
sayornis nigricans,1
pristimantis uisae,1
pristimantis uranobates,1
procyon cancrivorus,1
psaracolius angustifrons,1
pseudocolaptes boissonneautii,1
pterophanes cyanopterus,1
ptychoglossus bicolor,1
pygochelidon cyanoleuca,1
pyrrhomyias cinnamomeus,1
sciurus granantensis,1
stenorrhina degenhardtii,1
