species,requests
vertebrado,343
invertebrado,31
amazona ochrocephala,18
brotogeris jugularis,14
sicalis flaveola,10
carollia brevicauda,9
dendrobates truncatus,6
turdus ignobilis,6
carollia perspicillata,6
artibeus lituratus,6
perifiton,6
thraupis episcopus,6
sporophila minuta,6
sporophila nigricollis,6
amazilia tzacatl,6
coeligena torquata,6
iguana iguana,5
desmodus rotundus,5
coereba flaveola,5
heliangelus exortis,5
zenaida auriculata,5
volatinia jacarina,5
macroinvertebrado,4
elaenia flavogaster,4
tyrannus melancholicus,4
zooplancton,4
myioborus ornatus,4
pitangus sulphuratus,4
zonotrichia capensis,4
tangara vitriolina,4
chelonoidis carbonaria,4
turdus fuscater,4
thamnophilus doliatus,4
icterus chrysater,4
artibeus planirostris,4
pristimantis w-nigrum,4
thraupis palmarum,4
columbina talpacoti,4
ramphocelus dimidiatus,3
leptodactylus fragilis,3
heliomaster longirostris,3
momotus subrufescens,3
schistochlamys melanopis,3
ortalis columbiana,3
gonatodes albogularis,3
galbula ruficauda,3
coragyps atratus,3
mus domesticus,3
glossophaga soricina,3
catharus ustulatus,3
rhinella horribilis,3
holcosus festivus,3
pristimantis dorsopictus,3
zimmerius chrysops,3
tangara cyanicollis,3
myiothlypis coronata,3
arremon aurantiirostris,3
euphonia laniirostris,3
tolmomyias sulphurescens,3
rhinella marina,3
dasyprocta punctata,3
scinax ruber,3
boana xerophylla,3
polioptila plumbea,3
pyrocephalus rubinus,3
fitoplancton,3
engystomops pustulosus,3
troglodytes aedon,3
sturnira sp.,2
uroderma bilobatum,2
pionus chalcopterus,2
artibeus jamaicensis,2
piaya cayana,2
aulacorhynchus prasinus,2
tiaris olivaceus,2
myioborus miniatus,2
rheobates palmatus,2
myiopagis viridicata,2
thamnophilus atrinucha,2
artibeus phaeotis,2
phimosus infuscatus,2
melanerpes formicivorus,2
micrurus mipartitus,2
platyrrhinus helleri,2
artibeus anderseni,2
lasiancistrus caucanus,2
panyapedaliodes drymaea,2
claravis pretiosa,2
manacus manacus,2
myiozetetes cayanensis,2
molothrus bonariensis,2
tantilla melanocephala,2
hyalinobatrachium fleischmanni,2
oxyrhopus petolarius,2
sibon nebulatus,2
platyrrhinus nigellus,2
dryocopus lineatus,2
notosciurus granatensis,2
turdus leucomelas,2
dendrocygna autumnalis,2
amazona amazonica,2
psittacara wagleri,2
mimus gilvus,2
ara severus,2
forpus conspicillatus,2
ara ararauna,2
didelphis marsupialis,2
kinosternon leucostomum,2
campylorhynchus griseus,2
sturnira erythromos,2
sylvilagus brasiliensis,2
dendropsophus columbianus,2
dendrocincla tyrannina,2
dasypus novemcinctus,2
rhinella humboldti,2
leptodactylus insularum,2
leptodeira annulata,2
cnemidophorus lemniscatus,2
pseudoboa neuwiedii,2
megarynchus pitangua,2
crotophaga ani,2
stenocercus trachycephalus,2
chironius monticola,2
chamaepetes goudotii,2
cerdocyon thous,2
centrolene savagei,2
cathartes aura,2
bubulcus ibis,2
"colonia de pocillopora spp-arotrhron meleagris
pseudobalistes naufragium
sufflamen verres
crsutaceos, moluscos, poliquetos, algas, enémonas, esponjas, otros invertebrado",2
todirostrum cinereum,2
coryphospingus pileatus,2
chalybura buffonii,2
basileuterus rufifrons,2
leptodactylus fuscus,2
leptotila plumbeiceps,2
diglossa sittoides,2
melanerpes rubricapillus,2
veniliornis kirkii,2
pionus menstruus,2
dendrophidion bivittatus,2
drymarchon melanurus,2
basiliscus galeritus,2
anolis auratus,2
leptodeira septentrionalis,2
phimophis guianensis,2
hemidactylus frenatus,2
thecadactylus rapicauda,2
lepidoblepharis duolepis,2
lepidoblepharis xanthostigma,2
pristimantis sp,2
geophagus steindachneri,2
sturnira giannae,2
pristimantis gaigei,2
anoura geoffroyi,2
andinoacara latifrons,2
sturnira ludovici,2
trichomycterus banneaui,2
falco sparverius,2
eubucco bourcierii,2
chaetostoma fischeri,2
argopleura magdalenensis,2
ardea alba,2
chironius carinatus,2
megascops choliba,2
atlapetes schistaceus,2
barysomus,2
ochthoeca cinnamomeiventris,2
myiothlypis fulvicauda,2
vanessa virginiensis,2
synallaxis brachyura,2
colias dimera,2
dione moneta butleri,2
phyllomyias nigrocapillus,2
ochthoeca fumicolor,2
thraupis cyanocephala,2
adelomyia melanogenys,2
streptoprocne zonaris,2
diglossa cyanea,2
anisognathus lacrymosus,2
troglodytes solstitialis,2
stelgidopteryx ruficollis,2
sciurus granatensis,2
leptotes cassius,2
rattus rattus,2
spilotes pullatus,2
mus musculus,2
rupornis magnirostris,2
saltator striatipectus,2
pedaliodes poesia,2
eupsitulla pertinax,2
pedaliodes manis,2
serpophaga cinerea,2
leptotila verreauxi,2
euptychoides griphe,2
calosoma,2
spinus psaltria,2
synallaxis azarae,2
turdus serranus,2
chlorophanes spiza,2
anthracothorax nigricollis,2
pristimantis achatinus,2
erythrolamprus epinephelus,1
sporophila luctuosa,1
tángara labradorides,1
eriocnemis vestita,1
ramphocelus flammigerus,1
tyrannus savana,1
dermanura cf. bogotensis,1
dermanura cf. phaeotis,1
pristimantis palmeri,1
tachyphonus rufus,1
dendropsophus molitor,1
tángara cyanicollis,1
dendropsophus microcephalus,1
pipraeidea melanonota,1
tángara larvata,1
dendroplex picus,1
tángara vitriolina,1
dendrocincla fuliginosa,1
tiaris obscura,1
euphonia cyanocephala,1
astroblepus sp.,1
brycon henni ,1
dasyprocta fuliginosa,1
chaetostoma fischeri ,1
hemibrycon cf. rafaelense ,1
trichomycterus caliensis ,1
falco columbarius,1
pitangus sulfuratus,1
vanellus chilensis,1
phyllomyias griseiceps,1
elanus leucurus,1
diglossa humeralis,1
volatina jacarina,1
dubusia taeniata,1
diglossa caerulescens,1
diglossa albilatera,1
xenops rutilans,1
eira barbara,1
vampyressa thyone,1
xiphorhynchus susurrans,1
xiphorhynchus triangularis,1
amazilia saucerrottei,1
anolis ventrimaculatus,1
elaenia frantzii,1
anthracothorax prevostii,1
atractus sp,1
vireo leucophrys,1
aulacorhynchus haematopygus,1
emberizoides herbicola,1
dacnis lineata,1
botriechis schlegelii,1
carollia castanea,1
enchisthenes hartii,1
elaenia chiriquensis,1
oxyrophus petolarius,1
didelphis pernigra,1
epinecrophylla fulviventris,1
eptesicus chiriquinus,1
uropsalis segmentata,1
tyto alba,1
phaethornis guy,1
podilymbus podiceps,1
caiman crocodilus fuscus,1
dacnis hartlaubi,1
cebus capucinus,1
bolitoglossa sp.,1
bolitoglossa vallecula,1
"exitianus atratus, dalbulus sp., haldorus sp., cicadellidae sp.",1
bothrops asper,1
amazon sp,1
buteo brachyurus,1
buteo nitidus,1
buthraupis montana,1
butorides striata,1
cacicus chrysonotus,1
calyromys lanatus,1
campephilus pollens,1
capsiempis flaveola,1
caracara cheriway,1
catamenia inornata,1
boana pugnax,1
boa constrictor,1
basileuterus culicivorus,1
arremon assimilis,1
anolis tolimensis,1
anoura caudifer,1
aotus lemurinus,1
aramides cajaneus,1
aramus guarauna,1
ardea cocoi,1
arremon atricapillus,1
atractus sp.,1
arremon brunneinucha,1
artibeus cf. jamaicensis,1
atlapetes albinucha,1
atlapetes albofrenatus,1
atlapetes flaviceps,1
atractus crassicaudatus,1
amazona ochropcephala-brotogeris jugularis,1
cercosaura argulus,1
amazona ochropcephala-amazona amazonica,1
cryptorellus obsoletus,1
columbina passerina,1
conirostrum rufum,1
contopus fumigatus,1
craugastor metriocistus,1
crotalus durissus,1
tiaris bicolor,1
cryptotis thomasi,1
colibri thalassinus,1
crypturellus soui,1
xenopus laevis,1
cyanocorax affinis,1
cyanocorax yncas,1
dacnis cayana,1
trachemys scripta,1
colinus cristatus,1
colibri coruscans,1
phoenicopterus ruber,1
choeroniscus godmani,1
chiroxiphia lanceolata,1
chloroceryle americana,1
chlorophonia pyrrhophrys,1
chlorornis riefferii,1
chlorospingus canigularis,1
chlorospingus flavopectus,1
choloepus hoffmanni,1
colaptes rubiginosus,1
chrysomus icterocephalus,1
cnemotricus fuscatus,1
coeligena bonapartei,1
coeligena coeligena,1
colaptes punctigula,1
colaptes rivolii,1
trogon personatus,1
geotrygon montana,1
florisuga mellivora,1
myiarchus cephalotes,1
pterophanes cyanopterus,1
pseudocolaptes boissonneautii,1
psaracolius angustifrons,1
molothrus oryzivorus,1
momotus aequatorialis,1
procyon cancrivorus,1
myiobius villosus,1
mionectes oleagineus,1
pristimantis uranobates,1
myiodynastes chrysocephalus,1
myiodynastes maculatus,1
myiotheretes striaticollis,1
myiothlypis nigrocristata,1
myotis caucensis,1
molossus molossus,1
milvago chimachima,1
myotis keaysi,1
mazama rufina,1
marmosa robinsoni,1
marmosops caucae,1
marmosops m.parvidens,1
mastigodryas danieli,1
sayornis nigricans,1
pyrrhomyias cinnamomeus,1
